Share price to US global sales index,,,
,,,
Quarter ended,SHARE PRICE,SALES INDEX,P/US SALES
9/28/2018,33.66,19.27,1.747
6/29/2018,39.42,20.87,1.889
3/30/2018,36.35,20.64,1.761
12/29/2017,41.04,21.79,1.884
9/29/2017,40.38,20.36,1.984
6/30/2017,34.93,20.79,1.680
3/31/2017,35.35,21.11,1.675
12/30/2016,34.84,22.55,1.545
9/30/2016,31.77,20.04,1.585
6/30/2016,28.30,20.61,1.373
3/31/2016,31.43,19.87,1.582
12/31/2015,34.03,20.91,1.628
9/30/2015,30.02,18.37,1.634
6/30/2015,33.34,19.15,1.741
3/31/2015,37.50,19.30,1.943
12/31/2014,34.91,20.26,1.723
9/30/2014,31.94,18.91,1.689
6/30/2014,36.30,19.83,1.831
3/31/2014,34.43,19.60,1.757
12/31/2013,40.87,19.59,2.086
9/30/2013,35.96,18.62,1.931
6/28/2013,33.32,19.40,1.718
3/29/2013,27.82,18.75,1.484
12/31/2012,28.83,18.20,1.584
9/28/2012,22.75,17.61,1.292
6/29/2012,19.72,18.63,1.058
3/30/2012,25.65,18.22,1.408
12/30/2011,20.27,17.27,1.174
9/30/2011,20.17,16.68,1.210
6/30/2011,30.38,16.90,1.798
3/31/2011,31.04,17.48,1.776
12/31/2010,36.86,16.91,2.180
9/30/2010,0.33,16.08,0.021
6/30/2010,0.43,16.65,0.026
3/31/2010,0.57,16.27,0.035
12/31/2009,0.47,15.27,0.031
9/30/2009,0.71,15.08,0.047
6/30/2009,1.09,14.64,0.074
3/31/2009,1.94,12.80,0.152
12/31/2008,3.20,11.87,0.270
9/30/2008,9.45,13.90,0.680
6/30/2008,11.50,15.95,0.721
3/31/2008,19.05,15.47,1.231
12/31/2007,24.89,15.05,1.654
9/28/2007,36.70,14.97,2.452
6/29/2007,37.80,15.77,2.397
3/30/2007,30.64,15.01,2.041
12/29/2006,30.72,14.04,2.187
9/29/2006,33.26,14.06,2.365
6/30/2006,29.79,14.77,2.017
3/31/2006,21.27,14.35,1.482
12/30/2005,19.42,13.05,1.488
9/30/2005,30.61,13.85,2.211
6/30/2005,34.00,14.62,2.326
3/31/2005,29.39,13.48,2.180
12/31/2004,40.06,12.91,3.102
9/30/2004,42.48,13.01,3.265
6/30/2004,46.59,13.65,3.412
3/31/2004,47.10,13.38,3.520
12/31/2003,53.40,12.33,4.333
9/30/2003,40.93,12.81,3.196
6/30/2003,36.00,12.93,2.785
3/31/2003,33.62,12.47,2.695
12/31/2002,36.86,11.25,3.275
9/30/2002,38.90,12.07,3.224
6/28/2002,53.45,12.82,4.168
3/29/2002,60.45,12.03,5.026
12/31/2001,48.60,11.30,4.303
9/28/2001,42.90,11.29,3.800
6/29/2001,64.35,11.94,5.388
3/30/2001,51.85,11.43,4.535
12/29/2000,50.94,9.66,5.271
9/29/2000,65.00,10.60,6.130
6/30/2000,58.06,11.46,5.067
3/31/2000,82.81,11.53,7.184