Share price to US auto sales index,,,
,,,
Quarter ended,SHARE PRICE,SALES INDEX,P/US SALES
9/28/2018,33.66,16.60,2.028
6/29/2018,39.42,17.38,2.268
3/30/2018,36.35,17.40,2.089
12/29/2017,41.04,17.76,2.311
9/29/2017,40.38,18.47,2.186
6/30/2017,34.93,16.59,2.105
3/31/2017,35.35,16.72,2.115
12/30/2016,34.84,18.05,1.930
9/30/2016,31.77,17.65,1.800
6/30/2016,28.30,16.99,1.665
3/31/2016,31.43,16.77,1.874
12/31/2015,34.03,17.19,1.980
9/30/2015,30.02,17.97,1.671
6/30/2015,33.34,17.29,1.928
3/31/2015,37.50,17.50,2.143
12/31/2014,34.91,16.71,2.089
9/30/2014,31.94,16.24,1.967
6/30/2014,36.30,16.97,2.139
3/31/2014,34.43,16.79,2.051
12/31/2013,40.87,15.52,2.633
9/30/2013,35.96,15.28,2.353
6/28/2013,33.32,15.74,2.117
3/29/2013,27.82,15.50,1.795
12/31/2012,28.83,15.22,1.894
9/28/2012,22.75,14.81,1.536
6/29/2012,19.72,14.13,1.396
3/30/2012,25.65,14.22,1.803
12/30/2011,20.27,13.46,1.506
9/30/2011,20.17,13.01,1.551
6/30/2011,30.38,11.68,2.601
3/31/2011,31.04,12.85,2.416
12/31/2010,36.86,12.43,2.965
9/30/2010,0.33,11.67,0.028
6/30/2010,0.43,11.41,0.038
3/31/2010,0.57,11.57,0.049
12/31/2009,0.47,11.10,0.042
9/30/2009,0.71,9.36,0.075
6/30/2009,1.09,9.98,0.109
3/31/2009,1.94,9.57,0.203
12/31/2008,3.20,10.18,0.314
9/30/2008,9.45,12.69,0.745
6/30/2008,11.50,14.07,0.817
3/31/2008,19.05,14.82,1.285
12/31/2007,24.89,15.78,1.577
9/28/2007,36.70,16.26,2.257
6/29/2007,37.80,15.88,2.380
3/30/2007,30.64,16.07,1.907
12/29/2006,30.72,16.64,1.846
9/29/2006,33.26,16.47,2.019
6/30/2006,29.79,16.40,1.816
3/31/2006,21.27,16.46,1.292
12/30/2005,19.42,16.73,1.161
9/30/2005,30.61,16.47,1.859
6/30/2005,34.00,18.00,1.889
3/31/2005,29.39,16.97,1.732
12/31/2004,40.06,17.67,2.267
9/30/2004,42.48,17.47,2.432
6/30/2004,46.59,15.79,2.951
3/31/2004,47.10,16.89,2.789
12/31/2003,53.40,17.03,3.136
9/30/2003,40.93,16.97,2.412
6/30/2003,36.00,16.71,2.154
3/31/2003,33.62,16.28,2.065
12/31/2002,36.86,17.62,2.092
9/30/2002,38.90,16.32,2.384
6/28/2002,53.45,16.64,3.212
3/29/2002,60.45,16.81,3.596
12/31/2001,48.60,16.20,3.000
9/28/2001,42.90,16.09,2.666
6/29/2001,64.35,17.15,3.752
3/30/2001,51.85,16.92,3.064
12/29/2000,50.94,15.73,3.238
9/29/2000,65.00,18.24,3.564
6/30/2000,58.06,17.18,3.380
3/31/2000,82.81,17.98,4.606